 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 260,High  Point,North  Carolina,112316,104371,+7.61%,55.2sqmi;143.0km2,2015/sqmi;778/km2,355924N  795926W  /  35.9900N  79.9905W  /  35.9900;  -79.9905  (High  Point) ,https://en.wikipedia.org/wiki/High_Point_North_Carolina,,,,, Jay  W.  Wagner , 55.4sqmi  (143.6km2)104371 , 53.8sqmi  (139.3km2) , 1.7sqmi  (4.3km2) , 938ft  (286m) , UTC5  (EST) , UTC4  (EDT) ,www.highpointnc.gov,,, 1900/sqmi  (730/km2) 
 261,Downey,California,112269,111772,+0.44%,12.4sqmi;32.1km2,9134/sqmi;3527/km2,335618N  1180751W  /  33.9382N  118.1309W  /  33.9382;  -118.1309  (Downey) ,https://en.wikipedia.org/wiki/Downey_California, Los  Angeles ,, December  17  1956[1] ,Council-manager,,, 12.41sqmi  (32.14km2) , 0.16sqmi  (0.41km2)  1.27% ,, UTC-8  (PST) , UTC-7  (PDT) ,www.downeyca.org,9023990242,, 9128.55/sqmi  (3524.53/km2) 
 262,Clovis,California,112022,95631,+17.14%,24.2sqmi;62.7km2,4404/sqmi;1700/km2,364942N  1194106W  /  36.8282N  119.6849W  /  36.8282;  -119.6849  (Clovis) ,https://en.wikipedia.org/wiki/Clovis_California,Fresno,, February  27  1912[2] ,Councilmanager[3], Bob  Whalen  [3] ,, 24.40sqmi  (63.19km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.clovis.ca.us,,, 4368.33/sqmi  (1686.62/km2) 
 263,Pompano  Beach,Florida,111954,99845,+12.13%,24.0sqmi;62.2km2,4558/sqmi;1760/km2,261430N  800802W  /  26.2416N  80.1339W  /  26.2416;  -80.1339  (Pompano  Beach) ,https://en.wikipedia.org/wiki/Pompano_Beach_Florida,Broward,,,Commission-Manager, Rex  Hardin , 24.71sqmi  (64.00km2)99845 , 24.04sqmi  (62.26km2) , 0.67sqmi  (1.74km2)  5.54% , 13ft  (4m) , UTC5  (EST) , UTC4  (EDT) ,www.pompanobeachfl.gov,,, 4550.65/sqmi  (1757.01/km2) 
 264,Pueblo,Colorado,111750,106595,+4.84%,53.6sqmi;138.8km2,2058/sqmi;795/km2,381612N  1043644W  /  38.2699N  104.6123W  /  38.2699;  -104.6123  (Pueblo) ,https://en.wikipedia.org/wiki/Pueblo_Colorado,,, November  15  1885[4] , Home  Rule  Municipality[3] , Nick  Gradisar[5] ,, 53.59sqmi  (138.80km2) , 0.79sqmi  (2.03km2) ,, UTC7  (MST) , UTC6  (MDT) ,pueblo.us,,, 2057.98/sqmi  (794.59/km2) 
 265,Elgin,Illinois,111683,108188,+3.23%,37.4sqmi;96.9km2,2998/sqmi;1158/km2,420223N  881918W  /  42.0396N  88.3217W  /  42.0396;  -88.3217  (Elgin) ,https://en.wikipedia.org/wiki/Elgin_Illinois,,,1854, Home  Rule  Council-manager , Dave  Kaptain ,, 37.45sqmi  (96.98km2) , 0.49sqmi  (1.27km2)  1.43% ,, UTC6  (Central) , UTC5  (Central) ,cityofelgin.org,,, 3002.83/sqmi  (1159.40/km2) 
 266,Lowell,Massachusetts,111670,106519,+4.84%,13.6sqmi;35.2km2,8129/sqmi;3139/km2,423820N  711916W  /  42.6390N  71.3211W  /  42.6390;  -71.3211  (Lowell) ,https://en.wikipedia.org/wiki/Lowell_Massachusetts,Middlesex,1653,1826, Manager-City  council , William  Samaras ,, 13.8sqmi  (35.7km2) , 0.8sqmi  (2.0km2) , 102ft  (31m) , UTC5  (Eastern) , UTC4  (Eastern) , City  of  Lowell  Massachusetts ,,, 8077/sqmi  (3119/km2) 
 267,Antioch,California,111535,102372,+8.95%,29.4sqmi;76.1km2,3772/sqmi;1456/km2,375845N  1214746W  /  37.9791N  121.7962W  /  37.9791;  -121.7962  (Antioch) ,https://en.wikipedia.org/wiki/Antioch_California, Contra  Costa ,, February  6  1872[1] ,, Sean  Wright[2] , 30.12sqmi  (78.02km2)102372 , 29.35sqmi  (76.01km2) , 0.78sqmi  (2.01km2)  2.52% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.antioch.ca.us,,, 3805.42/sqmi  (1469.27/km2) 
 268,West  Palm  Beach,Florida,111398,99919,+11.49%,55.1sqmi;142.7km2,1963/sqmi;758/km2,264447N  800730W  /  26.7464N  80.1251W  /  26.7464;  -80.1251  (West  Palm  Beach) ,https://en.wikipedia.org/wiki/West_Palm_Beach_Florida, Palm  Beach ,,,Mayor-Commission, Keith  James[2]  (D) , 57.69sqmi  (149.43km2)99919 , 55.13sqmi  (142.80km2) , 2.56sqmi  (6.63km2) , 13ft  (6.4m) , UTC5  (EST) , UTC4  (EDT) ,http://wpb.org,,, 1961.75/sqmi  (757.44/km2) 
 269,Peoria,Illinois,111388,115007,3.15%,48.2sqmi;124.8km2,2371/sqmi;915/km2,404505N  893703W  /  40.7515N  89.6174W  /  40.7515;  -89.6174  (Peoria) ,https://en.wikipedia.org/wiki/Peoria_Illinois,Peoria,1691,,Council-Manager, Jim  Ardis , 50.45sqmi  (130.67km2)115007 , 48.23sqmi  (124.92km2) , 2.22sqmi  (5.75km2) , 509ft  (155m) , UTC6  (CST) , UTC5  (CDT) ,www.peoriagov.org,,, 2369.12/sqmi  (914.73/km2) 
 270,Everett,Washington,111262,103019,+8.00%,33.3sqmi;86.2km2,3275/sqmi;1264/km2,475724N  1221129W  /  47.9566N  122.1914W  /  47.9566;  -122.1914  (Everett) ,https://en.wikipedia.org/wiki/Everett_Washington,Snohomish,, May  4  1893 ,Mayorcouncil, Cassie  Franklin , 47.91sqmi  (124.09km2)103019 , 33.20sqmi  (85.98km2) , 14.71sqmi  (38.11km2) ,, UTC8  (PST) , UTC7  (PDT) ,everettwa.gov,,, 3315.83/sqmi  (1280.25/km2) 
 271,Ventura[aa],California,111128,106433,+4.41%,21.8sqmi;56.5km2,5027/sqmi;1941/km2,341604N  1191515W  /  34.2678N  119.2542W  /  34.2678;  -119.2542  (Ventura) ,https://en.wikipedia.org/wiki/Ventura_California,Ventura,, April  2  1866[1] ,, Neal  Andrews[2] ,, 21.82sqmi  (56.50km2) , 10.43sqmi  (27.03km2)  32.53% ,, UTC8  (Pacific) , UTC7  (PDT) ,cityofventura.net,,, 5077.45/sqmi  (1960.88/km2) 
 272,Centennial,Colorado,110831,100377,+10.41%,29.5sqmi;76.4km2,3727/sqmi;1439/km2,393526N  1045209W  /  39.5906N  104.8691W  /  39.5906;  -104.8691  (Centennial) ,https://en.wikipedia.org/wiki/Centennial_Colorado, Arapahoe  County[1] ,,2001, Home  Rule  Municipality[1] , Cathy  Noon ,, 29.55sqmi  (76.53km2) , 0.15sqmi  (0.38km2) ,, UTC-7  (MST) , UTC-6  (MDT) ,www.centennialco.gov,,, 3720.58/sqmi  (1436.54/km2) 
 273,Lakeland,Florida,110516,97422,+13.44%,65.9sqmi;170.7km2,1615/sqmi;624/km2,280320N  815718W  /  28.0555N  81.9549W  /  28.0555;  -81.9549  (Lakeland) ,https://en.wikipedia.org/wiki/Lakeland_Florida,Polk, c.  1875 ,,Commission-Manager, Bill  Mutz , 74.93sqmi  (194.06km2)97422  (US:  281st) , 65.91sqmi  (170.70km2) , 9.02sqmi  (23.36km2)  10.9% , 197ft  (60m) , UTC-5  (EST) , UTC-4  (EDT) ,http://www.lakelandgov.net/,,, 1614.68/sqmi  (623.43/km2) 
 274,Gresham,Oregon,110158,105594,+4.32%,23.3sqmi;60.3km2,4786/sqmi;1848/km2,453008N  1222630W  /  45.5023N  122.4416W  /  45.5023;  -122.4416  (Gresham) ,https://en.wikipedia.org/wiki/Gresham_Oregon,Multnomah,,1905,, Shane  Bemis  (R) , 23.43sqmi  (60.68km2)105594 , 23.20sqmi  (60.09km2) , 0.23sqmi  (0.60km2) , 325[2]ft  (91.7m) , UTC8  (Pacific) , UTC7  (Pacific) ,www.greshamoregon.gov,,, 4551.5/sqmi  (1757.3/km2) 
 275,Richmond,California,110146,103701,+6.21%,30.1sqmi;78.0km2,3648/sqmi;1409/km2,375708N  1222138W  /  37.9523N  122.3606W  /  37.9523;  -122.3606  (Richmond) ,https://en.wikipedia.org/wiki/Richmond_California, Contra  Costa ,, August  7  1905[1] ,Council-Manager[2],, 52.51sqmi  (136.01km2)103701 , 30.05sqmi  (77.83km2) , 22.46sqmi  (58.17km2)  42.71% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.richmond.ca.us,,, 3654.10/sqmi  (1410.85/km2) 
 276,Billings,Montana,109550,104170,+5.16%,43.7sqmi;113.2km2,2525/sqmi;975/km2,454719N  1083300W  /  45.7885N  108.5499W  /  45.7885;  -108.5499  (Billings) ,https://en.wikipedia.org/wiki/Billings_Montana,Yellowstone,,1882,Mayor-Council, Bill  Cole , 43.52sqmi  (112.72km2)104170 , 43.41sqmi  (112.43km2) , 0.11sqmi  (0.28km2) , 3123ft  (952m) , UTC7  (Mountain) , UTC6  (Mountain) ,CityofBillings.Net,,, 2400/sqmi  (920/km2) 
 277,Inglewood,California,109419,109673,0.23%,9.1sqmi;23.6km2,12160/sqmi;4700/km2,335722N  1182039W  /  33.9561N  118.3443W  /  33.9561;  -118.3443  (Inglewood) ,https://en.wikipedia.org/wiki/Inglewood_California, Los  Angeles ,, February  7  1908[1] ,Council-Manager-Commission,,, 9.07sqmi  (23.49km2) , 0.03sqmi  (0.06km2)  0.27% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.cityofinglewood.org,, 310/424  213/323 , 12202.69/sqmi  (4711.52/km2) 
 278,Broken  Arrow,Oklahoma,109171,98850,+10.44%,61.7sqmi;159.8km2,1741/sqmi;672/km2,360211N  954652W  /  36.0365N  95.7810W  /  36.0365;  -95.7810  (Broken  Arrow) ,https://en.wikipedia.org/wiki/Broken_Arrow_Oklahoma,,,1903,Council-Manager, Craig  Thurmond , 45.6sqmi  (118.1km2)98850 , 45.0sqmi  (116.5km2) , 0.6sqmi  (1.6km2) , 755ft  (230m) , UTC6  (CST) , UTC5  (CDT) , City  of  Broken  Arrow ,,, 2200/sqmi  (840/km2) 
 279,Sandy  Springs,Georgia,108797,93853,+15.92%,37.7sqmi;97.6km2,2804/sqmi;1083/km2,335553N  842207W  /  33.9315N  84.3687W  /  33.9315;  -84.3687  (Sandy  Springs) ,https://en.wikipedia.org/wiki/Sandy_Springs_Georgia,Fulton,, December  2005[1] ,, Rusty  Paul[2] ,, 37.6sqmi  (97.5km2) , 0.9sqmi  (2.3km2) , 1093ft  (333m) , UTC5  (EST) , UTC4  (EDT) ,www.sandyspringsga.gov,,, 2707/sqmi  (1045.3/km2) 
 280,Jurupa  Valley,California,108393,0,NA[ab],42.9sqmi;111.1km2,2414/sqmi;932/km2,340009N  1172803W  /  34.0026N  117.4676W  /  34.0026;  -117.4676  (Jurupa  Valley) ,https://en.wikipedia.org/wiki/Jurupa_Valley_California,Riverside,,,Council-Manager, Verne  Lauritzen , 43.68sqmi  (113.12km2)95005  (US:  294th) , 42.94sqmi  (111.22km2) , 0.74sqmi  (1.91km2) ,, UTC-8  (PST) , UTC-7  (PDT) ,jurupavalley.org,,, 2411.24/sqmi  (930.99/km2) 
 281,Hillsboro,Oregon,108389,91611,+18.31%,25.0sqmi;64.7km2,4207/sqmi;1624/km2,453141N  1225609W  /  45.5280N  122.9357W  /  45.5280;  -122.9357  (Hillsboro) ,https://en.wikipedia.org/wiki/Hillsboro_Oregon,Washington,, October  19  1876 ,Councilmanager, Steve  Callaway ,, 24.24sqmi  (62.8km2) , 0.01sqmi  (0.03km2) , 194ft  (60m) , UTC8  (PST) , UTC7  (PDT) ,www.hillsboro-oregon.gov,,, 3833.1/sqmi  (1480.0/km2) 
 282,Waterbury,Connecticut,108093,110366,2.06%,28.5sqmi;73.8km2,3799/sqmi;1467/km2,413331N  730212W  /  41.5585N  73.0367W  /  41.5585;  -73.0367  (Waterbury) ,https://en.wikipedia.org/wiki/Waterbury_Connecticut, New  Haven ,,,Mayor-council, Neil  O'Leary  (D) ,, 28.5sqmi  (73.9km2) , 0.4sqmi  (1.1km2) , 270ft  (80m) , UTC5  (Eastern) , UTC4  (Eastern) ,www.waterburyct.org,,, 3869.9/sqmi  (1494.2/km2) 
 283,Santa  Maria,California,107408,99553,+7.89%,22.8sqmi;59.1km2,4662/sqmi;1800/km2,345600N  1202638W  /  34.9332N  120.4438W  /  34.9332;  -120.4438  (Santa  Maria) ,https://en.wikipedia.org/wiki/Santa_Maria_California, Santa  Barbara ,, September  12  1905[1] ,Council-manager[2], Alice  Patino[3] , 23.42sqmi  (60.65km2)99553  (US:  282nd) , 22.78sqmi  (59.01km2) , 0.64sqmi  (1.65km2)  2.73% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.santa-maria.ca.us,,, 4665.53/sqmi  (1801.36/km2) 
 284,Boulder,Colorado,107353,97385,+10.24%,24.8sqmi;64.2km2,4358/sqmi;1683/km2,400137N  1051507W  /  40.0270N  105.2519W  /  40.0270;  -105.2519  (Boulder) ,https://en.wikipedia.org/wiki/Boulder_Colorado,Boulder[1], 1858  as  BoulderCity  N.T. ,1871-11-04[3], Home  rule  municipality[1] , Suzanne  Jones ,, 24.84sqmi  (64.33km2) , 1.01sqmi  (2.61km2) ,, UTC-7  (MST) , UTC-6  (MDT) ,bouldercolorado.gov,,, 4351.62/sqmi  (1680.14/km2) 
 285,Greeley,Colorado,107348,92889,+15.57%,47.8sqmi;123.8km2,2176/sqmi;840/km2,402455N  1044611W  /  40.4153N  104.7697W  /  40.4153;  -104.7697  (Greeley) ,https://en.wikipedia.org/wiki/Greeley_Colorado,Weld[1],,1885-11-15[3], Home  Rule  Municipality[1] , John  Gates  [4] ,, 47.79sqmi  (123.79km2) , 0.12sqmi  (0.31km2) ,, UTC7  (MST) , UTC6  (MDT) , City  of  Greeley  Colorado ,,, 2175.80/sqmi  (840.08/km2) 
 286,Daly  City,California,107008,101123,+5.82%,7.6sqmi;19.7km2,14009/sqmi;5409/km2,374203N  1222754W  /  37.7009N  122.4650W  /  37.7009;  -122.4650  (Daly  City) ,https://en.wikipedia.org/wiki/Daly_City_California, San  Mateo ,, March  22  1911[1] ,Council-Manager, Raymond  A.  Buenaventura[2] ,, 7.64sqmi  (19.79km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.dalycity.org,,, 13936.13/sqmi  (5380.52/km2) 
 287,Meridian,Idaho,106804,75092,+42.23%,29.8sqmi;77.2km2,3584/sqmi;1384/km2,433651N  1162356W  /  43.6142N  116.3989W  /  43.6142;  -116.3989  (Meridian) ,https://en.wikipedia.org/wiki/Meridian_Idaho,Ada,,1903,, Tammy  de  Weerd , 29.79sqmi  (77.15km2)75092 , 29.72sqmi  (76.99km2) , 0.06sqmi  (0.16km2) , 2605ft  (794m) , UTC7  (Mountain) , UTC6  (Mountain) ,www.meridiancity.org,,, 3217.03/sqmi  (1242.10/km2) 
 288,Lewisville,Texas,106586,95290,+11.85%,36.7sqmi;95.1km2,2852/sqmi;1101/km2,330248N  965854W  /  33.0466N  96.9818W  /  33.0466;  -96.9818  (Lewisville) ,https://en.wikipedia.org/wiki/Lewisville_Texas,,,January151925[2],Councilmanager,,, 36.4sqmi  (94.27km2) , 6.07sqmi  (15.72km2) , 525ft  (170m) , UTC6  (Central) , UTC5  (Central) ,www.cityoflewisville.com,,, 2618/sqmi  (1011/km2) 
 289,Davie[ac],Florida,106558,91992,+15.83%,34.9sqmi;90.4km2,2919/sqmi;1127/km2,260445N  801706W  /  26.0791N  80.2850W  /  26.0791;  -80.2850  (Davie) ,https://en.wikipedia.org/wiki/Davie_Florida,,,,,,,,,,,,,,,
 290,West  Covina,California,106311,106098,+0.20%,16.0sqmi;41.4km2,6740/sqmi;2600/km2,340321N  1175436W  /  34.0559N  117.9099W  /  34.0559;  -117.9099  (West  Covina) ,https://en.wikipedia.org/wiki/West_Covina_California,,,,,,,,,,,,,,,
 291,League  City,Texas,106244,83560,+27.15%,51.2sqmi;132.6km2,1992/sqmi;769/km2,292924N  950633W  /  29.4901N  95.1091W  /  29.4901;  -95.1091  (League  City) ,https://en.wikipedia.org/wiki/League_City_Texas,,,1961[1],Council-Manager, Pat  Hallisey ,, 51.3sqmi  (132.8km2) , 1.7sqmi  (4.4km2) , 20ft  (6m) , UTC-6  (Central  (CST)) , UTC-5  (CDT) ,http://www.leaguecitytx.gov,,, 1989/sqmi  (768.1/km2) 
 292,Tyler,Texas,105729,96900,+9.11%,56.6sqmi;146.6km2,1852/sqmi;715/km2,321902N  951821W  /  32.3173N  95.3059W  /  32.3173;  -95.3059  (Tyler) ,https://en.wikipedia.org/wiki/Tyler_Texas,Smith,,,Council-Manager, Martin  Heines  (D) , 54.376sqmi  (140.833km2)96900 , 54.2sqmi  (140.5km2) , 0.1sqmi  (0.3km2) , 544ft  (165m) , UTC6  (Central) , UTC5  (Central) ,www.cityoftyler.org,,, 1800/sqmi  (690/km2) 
 293,Norwalk,California,105120,105549,0.41%,9.7sqmi;25.1km2,10946/sqmi;4226/km2,335427N  1180501W  /  33.9076N  118.0835W  /  33.9076;  -118.0835  (Norwalk) ,https://en.wikipedia.org/wiki/Norwalk_California, Los  Angeles ,, August  26  1957[1] ,Council/Manager[2],,, 9.71sqmi  (25.15km2) , 0.04sqmi  (0.10km2)  0.40% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.norwalk.org,,, 10936.04/sqmi  (4222.62/km2) 
 294,San  Mateo,California,105025,97207,+8.04%,12.1sqmi;31.3km2,8592/sqmi;3317/km2,373337N  1221838W  /  37.5603N  122.3106W  /  37.5603;  -122.3106  (San  Mateo) ,https://en.wikipedia.org/wiki/San_Mateo_California, San  Mateo ,, September  4  1894[1] ,, Diane  Papan[2] ,, 12.13sqmi  (31.42km2) , 3.75sqmi  (9.72km2)  23.63% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.cityofsanmateo.org,,, 8570.40/sqmi  (3309.14/km2) 
 295,Green  Bay,Wisconsin,104879,104057,+0.79%,45.4sqmi;117.6km2,2316/sqmi;894/km2,443115N  875903W  /  44.5207N  87.9842W  /  44.5207;  -87.9842  (Green  Bay) ,https://en.wikipedia.org/wiki/Green_Bay_Wisconsin,Brown,,,, Eric  Genrich , 55.76sqmi  (144.42km2)104057 , 45.48sqmi  (117.79km2) , 10.28sqmi  (26.64km2) , 581ft  (177m) , UTC6  (Central) , UTC5  (CDT) ,greenbaywi.gov,,, 2311.41/sqmi  (892.43/km2) 
 296,Wichita  Falls,Texas,104576,104553,+0.02%,72.2sqmi;187.0km2,1450/sqmi;560/km2,335424N  983133W  /  33.9067N  98.5259W  /  33.9067;  -98.5259  (Wichita  Falls) ,https://en.wikipedia.org/wiki/Wichita_Falls_Texas,,,,,,,,,,,,,,,
 297,Sparks,Nevada,104246,90264,+15.49%,35.9sqmi;93.0km2,2810/sqmi;1080/km2,393316N  1194408W  /  39.5544N  119.7356W  /  39.5544;  -119.7356  (Sparks) ,https://en.wikipedia.org/wiki/Sparks_Nevada,Washoe,, March  15  1905 ,Council-manager, Ron  Smith  (R) ,, 35.8sqmi  (92.6km2) , 0.2sqmi  (0.4km2) , 4413ft  (1345m) , UTC8  (PST) , UTC7  (PDT) ,cityofsparks.us,,, 2500/sqmi  (970/km2) 
 298,Lakewood[ad],New  Jersey,104157,92843,+12.19%,24.7sqmi;64.0km2,4079/sqmi;1575/km2,400438N  741201W  /  40.0771N  74.2004W  /  40.0771;  -74.2004  (Lakewood) ,https://en.wikipedia.org/wiki/Lakewood_Township_New_Jersey,Ocean,, March  23  1892 ,Township, Raymond  Coles  (D)  (term  ends  December  31  2019)[5][6] ,, 24.577sqmi  (63.653km2) , 0.405sqmi  (1.050km2)  1.62% ,, UTC-5  (Eastern  (EST)) , UTC-4  (Eastern  (EDT)) ,www.lakewoodnj.gov,,, 3777.7/sqmi  (1458.6/km2) 
 299,Burbank,California,103695,103340,+0.34%,17.4sqmi;45.1km2,6003/sqmi;2318/km2,341124N  1181935W  /  34.1901N  118.3264W  /  34.1901;  -118.3264  (Burbank) ,https://en.wikipedia.org/wiki/Burbank_California, Los  Angeles ,, July  8  1911[1] ,Council-manager[2], Emily  Gabel-Luddy[2] ,, 17.35sqmi  (44.95km2) , 0.04sqmi  (0.09km2)  0.22% ,, UTC8  (Pacific) , UTC7  (PDT) ,burbankca.gov,,747/818, 6018.61/sqmi  (2323.77/km2) 
 300,Rialto,California,103440,99171,+4.30%,22.3sqmi;57.8km2,4633/sqmi;1789/km2,340642N  1172318W  /  34.1118N  117.3883W  /  34.1118;  -117.3883  (Rialto) ,https://en.wikipedia.org/wiki/Rialto_California,,,,,,,,,,,,,,,
 301,Allen,Texas,103383,84246,+22.72%,27.1sqmi;70.2km2,3715/sqmi;1434/km2,330559N  963947W  /  33.0997N  96.6631W  /  33.0997;  -96.6631  (Allen) ,https://en.wikipedia.org/wiki/Allen_Texas,Collin,,1953,Councilmanager,,,,, 659ft  (201m) , UTC-6  (CST) , UTC-5  (CDT) , City  of  Allen  official  website ,,, 3108/sqmi  (1200.1/km2) 
 302,El  Cajon,California,103241,99478,+3.78%,14.5sqmi;37.6km2,7156/sqmi;2763/km2,324806N  1165737W  /  32.8017N  116.9604W  /  32.8017;  -116.9604  (El  Cajon) ,https://en.wikipedia.org/wiki/El_Cajon_California, San  Diego ,, November  12  1912[1] ,, Bill  Wells[2] ,, 14.48sqmi  (37.52km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.el-cajon.ca.us,,, 7175.00/sqmi  (2769.03/km2) 
 303,Las  Cruces,New  Mexico,102926,97618,+5.44%,76.9sqmi;199.2km2,1323/sqmi;511/km2,321935N  1064723W  /  32.3264N  106.7897W  /  32.3264;  -106.7897  (Las  Cruces) ,https://en.wikipedia.org/wiki/Las_Cruces_New_Mexico, Doa  Ana ,,1907[1]:135,Councilmanager, Ken  Miyagishima , 76.6sqmi  (198.5km2)97618  (US:  300th) , 76.5sqmi  (198.1km2) , 0.2sqmi  (0.4km2) , 3900ft  (1200m) , UTC-7  (Mountain) , UTC-6  (DST) ,www.las-cruces.org,,,
 304,Renton,Washington,102153,90927,+12.35%,23.4sqmi;60.6km2,4314/sqmi;1666/km2,472834N  1221131W  /  47.4761N  122.1920W  /  47.4761;  -122.1920  (Renton) ,https://en.wikipedia.org/wiki/Renton_Washington,,,,,,,,,,,,,,,
 305,Davenport,Iowa,102085,99685,+2.41%,62.9sqmi;162.9km2,1631/sqmi;630/km2,413315N  903614W  /  41.5541N  90.6040W  /  41.5541;  -90.6040  (Davenport) ,https://en.wikipedia.org/wiki/Davenport_Iowa,Scott, May  14  1836 , January  25  1839 ,Mayorcouncil, Frank  Klipsch  [2] , 65.08sqmi  (168.56km2)99685 , 62.95sqmi  (163.04km2) , 2.13sqmi  (5.52km2) , 580ft  (180m) , UTC6  (CST) , UTC5  (CDT) ,www.cityofdavenportiowa.com,,, 1584/sqmi  (611.4/km2) 
 306,South  Bend,Indiana,101860,101168,+0.68%,41.4sqmi;107.2km2,2457/sqmi;949/km2,414037N  861608W  /  41.6769N  86.2690W  /  41.6769;  -86.2690  (South  Bend) ,https://en.wikipedia.org/wiki/South_Bend_Indiana, St.  Joseph ,,, Strong  Mayor-Council , Pete  Buttigieg  (D) , 41.82sqmi  (108.30km2)101166  (US:  301st) , 41.40sqmi  (107.23km2) , 0.42sqmi  (1.08km2) ,, UTC5  (EST) , UTC4  (EDT) ,www.southbendin.gov, 46601  46604  4661246617  4661946620  46624  46626  4662846629  4663446635  46637  46660  46680  46699 ,, 2457.37/sqmi  (948.79/km2) 
 307,Vista,California,101224,93834,+7.88%,18.7sqmi;48.4km2,5436/sqmi;2099/km2,331122N  1171419W  /  33.1895N  117.2386W  /  33.1895;  -117.2386  (Vista) ,https://en.wikipedia.org/wiki/Vista_California, San  Diego ,, January  28  1963[1] ,Council-Manager, Judy  Ritter[2] ,, 18.68sqmi  (48.38km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific  Time  Zone) , UTC7  (PDT) ,www.cityofvista.com,,442/760, 5442.13/sqmi  (2101.25/km2) 
 308,Tuscaloosa,Alabama,101113,90468,+11.77%,71.7sqmi;185.7km2,1399/sqmi;540/km2,331223N  873205W  /  33.2065N  87.5346W  /  33.2065;  -87.5346  (Tuscaloosa) ,https://en.wikipedia.org/wiki/Tuscaloosa_Alabama,Tuscaloosa,, December  13  1819[1] ,Mayor-Council, Walter  Maddox  (D) , 71.70sqmi  (185.70km2)90468 , 61.64sqmi  (159.64km2) , 10.06sqmi  (26.06km2) , 222ft  (68m) , UTC6  (CST) , UTC5  (CDT) ,www.tuscaloosa.com,,, 1627.03/sqmi  (628.20/km2) 
 309,Clinton[ae],Michigan,100800,96796,+4.14%,28.1sqmi;72.8km2,3573/sqmi;1380/km2,423525N  825501W  /  42.5903N  82.9170W  /  42.5903;  -82.9170  (Clinton) ,https://en.wikipedia.org/wiki/Clinton_Township_Macomb_County_Michigan,Macomb,1782,,,,, 28.2sqmi  (46.8km2) , 0.04sqmi  (0.2km2)  0.11% , 876ft  (267m) , UTC-5  (Eastern  (EST)) , UTC-4  (EDT) , Official  website ,,, 3432.5/sqmi  (2068.3/km2) 
 310,Edison[ad],New  Jersey,100693,99967,+0.73%,30.1sqmi;78.0km2,3389/sqmi;1309/km2,403014N  742058W  /  40.5040N  74.3494W  /  40.5040;  -74.3494  (Edison) ,https://en.wikipedia.org/wiki/Edison_New_Jersey,Middlesex,1651, March  17  1870  (as  Raritan  Township) , Faulkner  Act  Mayor-Council , Thomas  Lankey  (D  term  ends  December  31  2017)[4][5] ,, 29.940sqmi  (77.543km2) , 0.698sqmi  (1.808km2)  2.28% ,, UTC5  (Eastern  (EST)) , UTC4  (Eastern  (EDT)) ,www.edisonnj.org, 08817  08818  08820  08837  08899[15][16] ,, 3339.0/sqmi  (1289.2/km2) 
 311,Woodbridge[ad],New  Jersey,100450,99585,+0.87%,23.3sqmi;60.3km2,4351/sqmi;1680/km2,403339N  741734W  /  40.5607N  74.2927W  /  40.5607;  -74.2927  (Woodbridge) ,https://en.wikipedia.org/wiki/Woodbridge_Township_New_Jersey,Middlesex,1664, February  21  1798 , Faulkner  Act  (Mayor-Council) , John  McCormac  (D  term  ends  December  31  2019)[2][3] ,, 60.122km2  (23.213sqmi) , 3.350km2  (1.294sqmi)  5.28% ,, UTC5  (Eastern  (EST)) , UTC4  (Eastern  (EDT)) ,www.twp.woodbridge.nj.us, 07001  -  Avenel[13]07064  -  Port  Reading[14]07067  -  Colonia[15]07077  -  Sewaren[16]07095  -  Woodbridge[17]08830  -  Iselin[18]08832  -  Keasbey[19]08840  -  Menlo  Park  Terrace[20]08861  -  Hopelawn[21]08863  -  Fords[22][23] ,, 1656.4/km2  (4290.0/sqmi) 
 312,San  Angelo,Texas,100215,93200,+7.53%,59.9sqmi;155.1km2,1681/sqmi;649/km2,312628N  1002702W  /  31.4411N  100.4505W  /  31.4411;  -100.4505  (San  Angelo) ,https://en.wikipedia.org/wiki/San_Angelo_Texas, Tom  Green ,,,Council-Manager,, 58.2sqmi  (150.9km2)100450  (US:306th) , 55.9sqmi  (144.8km2) , 2.3sqmi  (6.1km2) ,, UTC6  (CST) , UTC5  (CDT) , The  City  of  San  Angelo  Texas ,,, 1640/sqmi  (633/km2) 
